mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_39063,C1C2OC=NC3CCC123,2.63662,1.98931,1.35592,1.9535,75.98,-0.2414,0.0259,0.2673,962.2158,0.150204,-401.933569,-401.926616,-401.925672,-401.9648,28.165,-1791.7063674120002,-1803.34163929,-1813.417551303,-1668.426576781
gdb_105346,CCC1(CC2CC12)C=O,2.0653799999999998,1.56549,1.13175,2.4264,82.28,-0.2449,-0.019,0.2259,1187.4324,0.18138800000000002,-387.072137,-387.06301,-387.062066,-387.106226,34.453,-2026.9205859541,-2039.8579390071,-2051.712839035,-1885.6858803060998
gdb_64036,CC1(CC=CN1C=O)C,2.30345,1.5219200000000002,1.1516600000000001,4.0096,83.22,-0.2096,0.0007,0.2102,1148.927,0.170606,-403.196049,-403.187008,-403.186063,-403.230284,34.175,-1956.0723098181,-1968.1744483921,-1979.4357249060001,-1821.3065944511
gdb_130588,O=C1C=CC2=C1N=NO2,2.2032700000000003,1.97043,1.0401799999999999,2.0539,72.68,-0.2638,-0.10099999999999999,0.1628,1013.0189,0.065812,-451.572779,-451.56563700000004,-451.564693,-451.60483600000003,25.496,-1281.0552309371,-1286.3507793881,-1292.275719366,-1204.5279983511
gdb_131852,c1c(cn[nH]1)NCCO,5.49169,0.75375,0.68406,3.0597,75.65,-0.1843,0.0328,0.2171,1597.5978,0.149729,-435.26374699999997,-435.254904,-435.25395999999995,-435.29833499999995,32.162,-1701.3450714121,-1711.793096262,-1721.869008275,-1579.555614656
gdb_104758,OCC1(CO)CC1C#N,2.82219,1.09612,0.92094,5.9212,73.61,-0.265,0.0202,0.2853,1279.6843,0.146795,-439.076238,-439.066759,-439.065814,-439.110648,34.508,-1744.5565961701002,-1754.606152805,-1764.6814373089999,-1623.015632978
gdb_97155,CN=C1OCC2CC1O2,3.5808800000000005,1.34509,1.1583299999999999,2.917,75.13,-0.2408,0.017,0.2578,1105.1842,0.148788,-439.070983,-439.06306900000004,-439.06212400000004,-439.104057,29.573,-1741.2590363751,-1752.290644595,-1762.365929099,-1618.879721159
gdb_12355,OC1CC=CCC1O,2.98252,2.01978,1.51396,2.2641,68.1,-0.2514,0.0158,0.2671,884.8187,0.15525999999999998,-384.954115,-384.946569,-384.945625,-384.985575,29.728,-1720.3755368551,-1731.6380683871,-1741.714607909,-1599.733166551
gdb_44718,N=C1OC2CC(C#C)C12,2.45568,1.70354,1.19733,2.7415,75.21,-0.2607,0.0178,0.2785,1034.7187,0.12408499999999999,-400.693869,-400.68613700000003,-400.685192,-400.72641400000003,29.694000000000003,-1641.635080026,-1651.004416905,-1659.893709399,-1532.5507979929998
gdb_8246,N=C1CC(CC#N)O1,6.074330000000001,1.13465,1.0147,3.6129,63.78,-0.2799,0.0096,0.2895,1093.4651,0.10745999999999999,-378.735432,-378.728057,-378.727113,-378.767855,26.285999999999998,-1422.9601161970002,-1430.7751132829999,-1438.479668785,-1329.3037704380001
gdb_74561,CC1=CC2C(C1)C2C#N,2.44571,1.55338,1.25006,3.9881,81.42,-0.2367,0.0047,0.2414,1078.479,0.1486,-364.83727700000003,-364.82920099999996,-364.828257,-364.869898,30.934,-1867.958123547,-1878.8893303271,-1888.96524234,-1745.8065940981
gdb_30170,CC1CC2=C(NC=C2)N1,4.41632,1.2276799999999999,0.9968899999999999,1.4909,82.65,-0.1689,0.057,0.2259,1198.3293,0.162675,-382.10194900000005,-382.094137,-382.09319300000004,-382.13412400000004,31.066999999999997,-1885.095394337,-1897.0801887281,-1907.749096746,-1755.6704080691
gdb_43970,O=C1CC23CC12OC=N3,3.06933,1.8217700000000001,1.58538,2.4999,65.23,-0.2492,-0.0304,0.2187,853.1762,0.10167000000000001,-436.65159800000004,-436.645138,-436.644193,-436.68242300000003,25.643,-1478.7764142381,-1487.1662095679999,-1494.8695100520001,-1381.7277548251002
gdb_53927,C#CC(C#C)(C(=N)N)O,1.8495400000000002,1.61931,1.24716,2.9203,74.27,-0.2362,-0.0085,0.2277,1087.1518,0.108872,-416.725925,-416.71612799999997,-416.715183,-416.760288,36.519,-1513.146337186,-1520.3306877270002,-1528.626984216,-1411.5802404820001
gdb_101764,CC(CN)[NH2+]CC([O-])=O,3.3192800000000005,0.8071699999999999,0.74916,6.7905,75.79,-0.2366,0.0294,0.2659,1579.2688,0.182862,-457.570605,-457.56044,-457.559496,-457.60649000000006,36.885,-1905.486926801,-1917.7710429851002,-1929.6259430129999,-1764.506989807
gdb_31644,Cc1nc(cn1C)CO,3.4639300000000004,1.06894,0.8296399999999999,2.1626,79.87,-0.2018,0.04,0.2418,1392.1679,0.158695,-419.248048,-419.238067,-419.237122,-419.28404,34.553000000000004,-1840.097978965,-1850.7210788260002,-1861.389359335,-1712.812170878
gdb_80020,CC1C2C=CC1C2(C)O,2.7602599999999997,1.6077,1.28339,1.3368,82.76,-0.2361,0.0013,0.2374,1076.2167,0.18235,-387.062837,-387.054416,-387.053471,-387.094958,34.603,-2021.0847522541,-2034.4651266611,-2046.31939918,-1878.6151088941
